file name,channel,image quality,notes
20230821_A01_12_004_Projected_C1.tif,registration,undefined,none
20230821_A01_13_002_Projected_C1.tif,registration,undefined,none
20230821_A01_12_002_Projected_C1.tif,registration,undefined,none
